Store,Date,Temperature,Unemployment
1,20/01/2012,54.11,7.348
1,27/01/2012,54.26,7.348
1,3/02/2012,56.55,7.348
1,10/02/2012,48.02,7.348
1,17/02/2012,45.32,7.348
1,24/02/2012,57.25,7.348
1,2/03/2012,60.96,7.348
1,9/03/2012,58.76,7.348
1,16/03/2012,64.74,7.348
1,23/03/2012,65.93,7.348
1,30/03/2012,67.61,7.348
1,6/04/2012,70.43,7.143
1,13/04/2012,69.07,7.143
1,20/04/2012,66.76,7.143
1,27/04/2012,67.23,7.143
1,4/05/2012,75.55,7.143
1,11/05/2012,73.77,7.143
1,18/05/2012,70.33,7.143
1,25/05/2012,77.22,7.143
1,1/06/2012,77.95,7.143
1,8/06/2012,78.3,7.143
1,15/06/2012,79.35,7.143
1,22/06/2012,78.39,7.143
1,29/06/2012,84.88,7.143
1,6/07/2012,81.57,6.908
1,13/07/2012,77.12,6.908
1,20/07/2012,80.42,6.908
1,27/07/2012,82.66,6.908
1,3/08/2012,86.11,6.908
1,10/08/2012,85.05,6.908
1,17/08/2012,84.85,6.908
1,24/08/2012,77.66,6.908
1,31/08/2012,80.49,6.908
1,7/09/2012,83.96,6.908
1,14/09/2012,74.97,6.908
1,21/09/2012,69.87,6.908
1,28/09/2012,76.08,6.908
1,5/10/2012,68.55,6.573
1,12/10/2012,62.99,6.573
1,19/10/2012,67.97,6.573
1,26/10/2012,69.16,6.573
1,2/11/2012,55.32,6.573
1,9/11/2012,61.24,6.573
1,16/11/2012,52.92,6.573
1,23/11/2012,56.23,6.573
1,30/11/2012,52.34,6.573
1,7/12/2012,64.12,6.573
1,14/12/2012,48.89,6.573
1,21/12/2012,56.02,6.573
1,28/12/2012,44.79,6.573
1,4/01/2013,41.73,6.525
1,11/01/2013,50.32,6.525
1,18/01/2013,42.92,6.525
1,25/01/2013,53.37,6.525
1,1/02/2013,56.46,6.525
1,8/02/2013,56.67,6.525
1,15/02/2013,49.66,6.525
1,22/02/2013,50.25,6.525
1,1/03/2013,48.01,6.525
1,8/03/2013,50.81,6.525
1,15/03/2013,55.33,6.525
1,22/03/2013,63.42,6.525
1,29/03/2013,51,6.525
1,5/04/2013,58.59,6.314
1,12/04/2013,62.72,6.314
1,19/04/2013,67.1,6.314
1,26/04/2013,59.23,6.314
1,3/05/2013,66.66,NA
1,10/05/2013,63.9,NA
1,17/05/2013,69.53,NA
1,24/05/2013,77.19,NA
1,31/05/2013,78.02,NA
1,7/06/2013,76.44,NA
1,14/06/2013,79.86,NA
1,21/06/2013,81.35,NA
1,28/06/2013,83.94,NA
1,5/07/2013,79.85,NA
1,12/07/2013,83.12,NA
1,19/07/2013,79.26,NA
1,26/07/2013,81.54,NA
2,5/02/2010,40.19,8.324
2,12/02/2010,38.49,8.324
2,19/02/2010,39.69,8.324
2,26/02/2010,46.1,8.324
2,5/03/2010,47.17,8.324
2,12/03/2010,57.56,8.324
2,19/03/2010,54.52,8.324
2,26/03/2010,51.26,8.324
2,2/04/2010,63.27,8.2
2,9/04/2010,65.41,8.2
2,16/04/2010,68.07,8.2
2,23/04/2010,65.11,8.2
2,30/04/2010,66.98,8.2
2,7/05/2010,71.28,8.2
2,14/05/2010,73.31,8.2
2,21/05/2010,74.83,8.2
2,28/05/2010,81.13,8.2
2,4/06/2010,81.81,8.2
2,11/06/2010,83.4,8.2
2,18/06/2010,85.81,8.2
2,25/06/2010,86.26,8.2
2,2/07/2010,82.74,8.099
2,9/07/2010,82.59,8.099
2,16/07/2010,85.32,8.099
2,23/07/2010,87.66,8.099
2,30/07/2010,83.49,8.099
2,6/08/2010,89.53,8.099
2,13/08/2010,89.05,8.099
2,20/08/2010,88.7,8.099
2,27/08/2010,87.12,8.099
2,3/09/2010,81.83,8.099
2,10/09/2010,79.09,8.099
2,17/09/2010,82.05,8.099
2,24/09/2010,81.79,8.099
2,1/10/2010,69.24,8.163
2,8/10/2010,63.19,8.163
2,15/10/2010,65.8,8.163
2,22/10/2010,68.5,8.163
2,29/10/2010,66.24,8.163
2,5/11/2010,57.85,8.163
2,12/11/2010,59.69,8.163
2,19/11/2010,50.81,8.163
2,26/11/2010,62.98,8.163
2,3/12/2010,49.33,8.163
2,10/12/2010,45.5,8.163
2,17/12/2010,47.55,8.163
2,24/12/2010,49.97,8.163
2,31/12/2010,47.3,8.163
2,7/01/2011,44.69,8.028
2,14/01/2011,33.02,8.028
2,21/01/2011,41.4,8.028
2,28/01/2011,42.83,8.028
2,4/02/2011,38.25,8.028
2,11/02/2011,33.19,8.028
2,18/02/2011,57.83,8.028
2,25/02/2011,60.8,8.028
2,4/03/2011,57.77,8.028
2,11/03/2011,52.7,8.028
2,18/03/2011,62.32,8.028
2,25/03/2011,69.42,8.028
2,1/04/2011,55.43,7.931
2,8/04/2011,67,7.931
2,15/04/2011,69.48,7.931
2,22/04/2011,69.39,7.931
2,29/04/2011,69.21,7.931
2,6/05/2011,61.48,7.931
2,13/05/2011,74.61,7.931
2,20/05/2011,67.14,7.931
2,27/05/2011,76.42,7.931
2,3/06/2011,83.07,7.931
2,10/06/2011,83.4,7.931
2,17/06/2011,86.53,7.931
2,24/06/2011,85.17,7.931
2,1/07/2011,85.69,7.852
2,8/07/2011,87.7,7.852
2,15/07/2011,89.83,7.852
2,22/07/2011,89.34,7.852
2,29/07/2011,90.07,7.852
2,5/08/2011,93.34,7.852
2,12/08/2011,91.58,7.852
2,19/08/2011,89.86,7.852
2,26/08/2011,90.45,7.852
2,2/09/2011,89.64,7.852
2,9/09/2011,77.97,7.852
2,16/09/2011,78.85,7.852
2,23/09/2011,75.58,7.852
2,30/09/2011,78.14,7.852
2,7/10/2011,69.92,7.441
2,14/10/2011,71.67,7.441
2,21/10/2011,64.53,7.441
2,28/10/2011,65.87,7.441
2,4/11/2011,55.53,7.441
2,11/11/2011,59.33,7.441
2,18/11/2011,62.01,7.441
2,25/11/2011,56.36,7.441
2,2/12/2011,48.74,7.441
2,9/12/2011,41.76,7.441
2,16/12/2011,50.13,7.441
2,23/12/2011,46.66,7.441
2,30/12/2011,44.57,7.441
2,6/01/2012,46.75,7.057
2,13/01/2012,45.99,7.057
2,20/01/2012,51.7,7.057
2,27/01/2012,50.5,7.057
2,3/02/2012,55.21,7.057
2,10/02/2012,46.98,7.057
2,17/02/2012,43.82,7.057
2,24/02/2012,54.63,7.057
2,2/03/2012,58.79,7.057
2,9/03/2012,57.11,7.057
2,16/03/2012,63.68,7.057
2,23/03/2012,64.01,7.057
2,30/03/2012,66.83,7.057
2,6/04/2012,68.43,6.891
2,13/04/2012,68.08,6.891
2,20/04/2012,65.69,6.891
2,27/04/2012,67.2,6.891
2,4/05/2012,76.73,6.891
2,11/05/2012,73.87,6.891
2,18/05/2012,71.27,6.891
2,25/05/2012,78.19,6.891
2,1/06/2012,78.38,6.891
2,8/06/2012,78.69,6.891
2,15/06/2012,80.56,6.891
2,22/06/2012,81.04,6.891
2,29/06/2012,86.32,6.891
2,6/07/2012,84.2,6.565
2,13/07/2012,80.17,6.565
2,20/07/2012,83.23,6.565
2,27/07/2012,86.37,6.565
2,3/08/2012,90.22,6.565
2,10/08/2012,88.55,6.565
2,17/08/2012,84.79,6.565
2,24/08/2012,76.91,6.565
2,31/08/2012,82.64,6.565
2,7/09/2012,87.65,6.565
2,14/09/2012,75.88,6.565
2,21/09/2012,71.09,6.565
2,28/09/2012,79.45,6.565
2,5/10/2012,70.27,6.17
2,12/10/2012,60.97,6.17
2,19/10/2012,68.08,6.17
2,26/10/2012,69.79,6.17
2,2/11/2012,56.4,6.17
2,9/11/2012,61.9,6.17
2,16/11/2012,52.72,6.17
2,23/11/2012,58.06,6.17
2,30/11/2012,52.64,6.17
2,7/12/2012,64.19,6.17
2,14/12/2012,47.69,6.17
2,21/12/2012,55.14,6.17
2,28/12/2012,41.56,6.17
2,4/01/2013,39.12,6.237
2,11/01/2013,47.42,6.237
2,18/01/2013,40.98,6.237
2,25/01/2013,51.33,6.237
2,1/02/2013,54.75,6.237
2,8/02/2013,56.08,6.237
2,15/02/2013,48.92,6.237
2,22/02/2013,48.16,6.237
2,1/03/2013,46.08,6.237
2,8/03/2013,51.12,6.237
2,15/03/2013,55.14,6.237
2,22/03/2013,59.97,6.237
2,29/03/2013,50.54,6.237
2,5/04/2013,58.3,6.112
2,12/04/2013,61.23,6.112
2,19/04/2013,67.05,6.112
2,26/04/2013,58.13,6.112
2,3/05/2013,65.26,NA
2,10/05/2013,63.51,NA
2,17/05/2013,70.55,NA
2,24/05/2013,76.83,NA
2,31/05/2013,78.05,NA
2,7/06/2013,76.2,NA
2,14/06/2013,80.91,NA
2,21/06/2013,81.11,NA
2,28/06/2013,85.37,NA
2,5/07/2013,79.48,NA
2,12/07/2013,85.41,NA
2,19/07/2013,79.16,NA
2,26/07/2013,83.17,NA
3,5/02/2010,45.71,7.368
3,12/02/2010,47.93,7.368
3,19/02/2010,47.07,7.368
3,26/02/2010,52.05,7.368
3,5/03/2010,53.04,7.368
3,12/03/2010,63.08,7.368
3,19/03/2010,60.42,7.368
3,26/03/2010,57.06,7.368
3,2/04/2010,65.56,7.343
3,9/04/2010,68,7.343
3,16/04/2010,66.98,7.343
3,23/04/2010,67.87,7.343
3,30/04/2010,70.24,7.343
3,7/05/2010,73.47,7.343
3,14/05/2010,77.18,7.343
3,21/05/2010,75.81,7.343
3,28/05/2010,78.6,7.343
3,4/06/2010,78.53,7.343
3,11/06/2010,82.1,7.343
3,18/06/2010,83.52,7.343
3,25/06/2010,83.79,7.343
3,2/07/2010,82.2,7.346
3,9/07/2010,81.75,7.346
3,16/07/2010,84.32,7.346
3,23/07/2010,83.32,7.346
3,30/07/2010,82.04,7.346
3,6/08/2010,85.13,7.346
3,13/08/2010,86.74,7.346
3,20/08/2010,88.02,7.346
3,27/08/2010,86.15,7.346
3,3/09/2010,84.16,7.346
3,10/09/2010,80.84,7.346
3,17/09/2010,82.36,7.346
3,24/09/2010,76.9,7.346
3,1/10/2010,73.6,7.564
3,8/10/2010,66.99,7.564
3,15/10/2010,69.71,7.564
3,22/10/2010,71.64,7.564
3,29/10/2010,72.04,7.564
3,5/11/2010,62.94,7.564
3,12/11/2010,62.79,7.564
3,19/11/2010,57.72,7.564
3,26/11/2010,68.71,7.564
3,3/12/2010,53.76,7.564
3,10/12/2010,51.13,7.564
3,17/12/2010,52.2,7.564
3,24/12/2010,57.16,7.564
3,31/12/2010,53.2,7.564
3,7/01/2011,53.35,7.551
3,14/01/2011,44.76,7.551
3,21/01/2011,50.74,7.551
3,28/01/2011,48.71,7.551
3,4/02/2011,45.95,7.551
3,11/02/2011,43.57,7.551
3,18/02/2011,61.58,7.551
3,25/02/2011,67.4,7.551
3,4/03/2011,65.11,7.551
3,11/03/2011,61.29,7.551
3,18/03/2011,69.47,7.551
3,25/03/2011,72.94,7.551
3,1/04/2011,68.76,7.574
3,8/04/2011,72.55,7.574
3,15/04/2011,75.88,7.574
3,22/04/2011,76.91,7.574
3,29/04/2011,78.69,7.574
3,6/05/2011,69.45,7.574
3,13/05/2011,79.87,7.574
3,20/05/2011,75.79,7.574
3,27/05/2011,84.41,7.574
3,3/06/2011,84.29,7.574
3,10/06/2011,84.84,7.574
3,17/06/2011,86.96,7.574
3,24/06/2011,84.94,7.574
3,1/07/2011,85.1,7.567
3,8/07/2011,85.38,7.567
3,15/07/2011,87.14,7.567
3,22/07/2011,86.19,7.567
3,29/07/2011,88.07,7.567
3,5/08/2011,88.45,7.567
3,12/08/2011,88.88,7.567
3,19/08/2011,88.44,7.567
3,26/08/2011,87.67,7.567
3,2/09/2011,89.12,7.567
3,9/09/2011,81.72,7.567
3,16/09/2011,83.63,7.567
3,23/09/2011,80.19,7.567
3,30/09/2011,82.58,7.567
3,7/10/2011,75.54,7.197
3,14/10/2011,73.75,7.197
3,21/10/2011,69.03,7.197
3,28/10/2011,71.04,7.197
3,4/11/2011,59.31,7.197
3,11/11/2011,61.7,7.197
3,18/11/2011,63.91,7.197
3,25/11/2011,68,7.197
3,2/12/2011,54.97,7.197
3,9/12/2011,49.26,7.197
3,16/12/2011,57.95,7.197
3,23/12/2011,53.41,7.197
3,30/12/2011,48.29,7.197
3,6/01/2012,52.42,6.833
3,13/01/2012,51.86,6.833
3,20/01/2012,56.2,6.833
3,27/01/2012,58.06,6.833
3,3/02/2012,59.33,6.833
3,10/02/2012,51.65,6.833
3,17/02/2012,52.39,6.833
3,24/02/2012,60.12,6.833
3,2/03/2012,61.65,6.833
3,9/03/2012,60.71,6.833
3,16/03/2012,64,6.833
3,23/03/2012,66.53,6.833
3,30/03/2012,69.36,6.833
3,6/04/2012,73.01,6.664
3,13/04/2012,72.83,6.664
3,20/04/2012,72.05,6.664
3,27/04/2012,73.39,6.664
3,4/05/2012,79.51,6.664
3,11/05/2012,75.19,6.664
3,18/05/2012,72.38,6.664
3,25/05/2012,78.58,6.664
3,1/06/2012,81.55,6.664
3,8/06/2012,81.65,6.664
3,15/06/2012,84.66,6.664
3,22/06/2012,82.7,6.664
3,29/06/2012,86.42,6.664
3,6/07/2012,83.14,6.334
3,13/07/2012,82.28,6.334
3,20/07/2012,81.38,6.334
3,27/07/2012,84.94,6.334
3,3/08/2012,86.55,6.334
3,10/08/2012,85.85,6.334
3,17/08/2012,87.36,6.334
3,24/08/2012,83.01,6.334
3,31/08/2012,85.18,6.334
3,7/09/2012,84.99,6.334
3,14/09/2012,78.36,6.334
3,21/09/2012,72.78,6.334
3,28/09/2012,77.46,6.334
3,5/10/2012,72.74,6.034
3,12/10/2012,70.31,6.034
3,19/10/2012,73.44,6.034
3,26/10/2012,74.66,6.034
3,2/11/2012,61.61,6.034
3,9/11/2012,68.72,6.034
3,16/11/2012,61.1,6.034
3,23/11/2012,61.69,6.034
3,30/11/2012,57.5,6.034
3,7/12/2012,65.09,6.034
3,14/12/2012,54.72,6.034
3,21/12/2012,59.39,6.034
3,28/12/2012,51.76,6.034
3,4/01/2013,46.52,6.108
3,11/01/2013,49.83,6.108
3,18/01/2013,49.09,6.108
3,25/01/2013,57.85,6.108
3,1/02/2013,62.81,6.108
3,8/02/2013,62.77,6.108
3,15/02/2013,57.36,6.108
3,22/02/2013,59.96,6.108
3,1/03/2013,54.19,6.108
3,8/03/2013,57.25,6.108
3,15/03/2013,61.99,6.108
3,22/03/2013,70.38,6.108
3,29/03/2013,60.69,6.108
3,5/04/2013,65.89,5.999
3,12/04/2013,67.56,5.999
3,19/04/2013,71.69,5.999
3,26/04/2013,65.23,5.999
3,3/05/2013,69.73,NA
3,10/05/2013,68.93,NA
3,17/05/2013,75.33,NA
3,24/05/2013,81.27,NA
3,31/05/2013,78.99,NA
3,7/06/2013,80.11,NA
3,14/06/2013,78.61,NA
3,21/06/2013,82.81,NA
3,28/06/2013,85.14,NA
3,5/07/2013,81.59,NA
3,12/07/2013,84.86,NA
3,19/07/2013,81.11,NA
3,26/07/2013,85.53,NA
4,5/02/2010,43.76,8.623
4,12/02/2010,28.84,8.623
4,19/02/2010,36.45,8.623
4,26/02/2010,41.36,8.623
4,5/03/2010,43.49,8.623
4,12/03/2010,49.63,8.623
4,19/03/2010,55.19,8.623
4,26/03/2010,39.91,8.623
4,2/04/2010,48.77,7.896
4,9/04/2010,54.16,7.896
4,16/04/2010,56.23,7.896
4,23/04/2010,56.87,7.896
4,30/04/2010,53.04,7.896
4,7/05/2010,56.77,7.896
4,14/05/2010,62.35,7.896
4,21/05/2010,67.4,7.896
4,28/05/2010,67.73,7.896
4,4/06/2010,70.83,7.896
4,11/06/2010,78.45,7.896
4,18/06/2010,81.53,7.896
4,25/06/2010,81.1,7.896
4,2/07/2010,73.66,7.372
4,9/07/2010,80.35,7.372
4,16/07/2010,78.53,7.372
4,23/07/2010,79.78,7.372
4,30/07/2010,80.7,7.372
4,6/08/2010,76.53,7.372
4,13/08/2010,78.08,7.372
4,20/08/2010,78.83,7.372
4,27/08/2010,74.44,7.372
4,3/09/2010,76.8,7.372
4,10/09/2010,73.54,7.372
4,17/09/2010,64.91,7.372
4,24/09/2010,60.96,7.372
4,1/10/2010,63.96,7.127
4,8/10/2010,67.73,7.127
4,15/10/2010,62.03,7.127
4,22/10/2010,64.17,7.127
4,29/10/2010,56.94,7.127
4,5/11/2010,51.6,7.127
4,12/11/2010,52.65,7.127
4,19/11/2010,48.05,7.127
4,26/11/2010,48.08,7.127
4,3/12/2010,46.4,7.127
4,10/12/2010,42.4,7.127
4,17/12/2010,46.57,7.127
4,24/12/2010,43.21,7.127
4,31/12/2010,38.09,7.127
4,7/01/2011,39.34,6.51
4,14/01/2011,31.6,6.51
4,21/01/2011,38.34,6.51
4,28/01/2011,40.6,6.51
4,4/02/2011,34.61,6.51
4,11/02/2011,33.29,6.51
4,18/02/2011,48.17,6.51
4,25/02/2011,49,6.51
4,4/03/2011,46.56,6.51
4,11/03/2011,50.93,6.51
4,18/03/2011,51.86,6.51
4,25/03/2011,59.1,6.51
4,1/04/2011,56.99,5.946
4,8/04/2011,62.61,5.946
4,15/04/2011,62.34,5.946
4,22/04/2011,68.8,5.946
4,29/04/2011,64.22,5.946
4,6/05/2011,63.41,5.946
4,13/05/2011,70.65,5.946
4,20/05/2011,70.49,5.946
4,27/05/2011,73.65,5.946
4,3/06/2011,78.26,5.946
4,10/06/2011,80.05,5.946
4,17/06/2011,83.51,5.946
4,24/06/2011,81.85,5.946
4,1/07/2011,84.54,5.644
4,8/07/2011,84.59,5.644
4,15/07/2011,83.27,5.644
4,22/07/2011,82.84,5.644
4,29/07/2011,84.36,5.644
4,5/08/2011,86.09,5.644
4,12/08/2011,82.98,5.644
4,19/08/2011,82.77,5.644
4,26/08/2011,81.47,5.644
4,2/09/2011,77.99,5.644
4,9/09/2011,73.34,5.644
4,16/09/2011,72.76,5.644
4,23/09/2011,69.23,5.644
4,30/09/2011,72.15,5.644
4,7/10/2011,65.79,5.143
4,14/10/2011,63.75,5.143
4,21/10/2011,64.79,5.143
4,28/10/2011,55.31,5.143
4,4/11/2011,49.86,5.143
4,11/11/2011,47.12,5.143
4,18/11/2011,50.44,5.143
4,25/11/2011,47.96,5.143
4,2/12/2011,38.71,5.143
4,9/12/2011,31.64,5.143
4,16/12/2011,36.44,5.143
4,23/12/2011,35.92,5.143
4,30/12/2011,36.89,5.143
4,6/01/2012,38.64,4.607
4,13/01/2012,34.41,4.607
4,20/01/2012,42.09,4.607
4,27/01/2012,40.31,4.607
4,3/02/2012,41.81,4.607
4,10/02/2012,33,4.607
4,17/02/2012,34.19,4.607
4,24/02/2012,41.31,4.607
4,2/03/2012,50.38,4.607
4,9/03/2012,53.63,4.607
4,16/03/2012,59.81,4.607
4,23/03/2012,59.07,4.607
4,30/03/2012,72.63,4.607
4,6/04/2012,67.69,4.308
4,13/04/2012,68.69,4.308
4,20/04/2012,68.6,4.308
4,27/04/2012,76.47,4.308
4,4/05/2012,80.14,4.308
4,11/05/2012,67.64,4.308
4,18/05/2012,68.43,4.308
4,25/05/2012,77.47,4.308
4,1/06/2012,77.41,4.308
4,8/06/2012,78.11,4.308
4,15/06/2012,80.94,4.308
4,22/06/2012,81.63,4.308
4,29/06/2012,84.23,4.308
4,6/07/2012,80.37,4.077
4,13/07/2012,76.86,4.077
4,20/07/2012,79.14,4.077
4,27/07/2012,81.06,4.077
4,3/08/2012,83.86,4.077
4,10/08/2012,83.21,4.077
4,17/08/2012,81.41,4.077
4,24/08/2012,75.76,4.077
4,31/08/2012,76.47,4.077
4,7/09/2012,82.09,4.077
4,14/09/2012,68.2,4.077
4,21/09/2012,68.97,4.077
4,28/09/2012,71.74,4.077
4,5/10/2012,63.07,3.879
4,12/10/2012,57.11,3.879
4,19/10/2012,64.46,3.879
4,26/10/2012,63.64,3.879
4,2/11/2012,53.31,3.879
4,9/11/2012,59.47,3.879
4,16/11/2012,49.86,3.879
4,23/11/2012,55.09,3.879
4,30/11/2012,50.91,3.879
4,7/12/2012,53.67,3.879
4,14/12/2012,42.57,3.879
4,21/12/2012,44.8,3.879
4,28/12/2012,37.93,3.879
4,4/01/2013,33.11,3.921
4,11/01/2013,38.92,3.921
4,18/01/2013,34.06,3.921
4,25/01/2013,47.49,3.921
4,1/02/2013,49.07,3.921
4,8/02/2013,49.86,3.921
4,15/02/2013,44.7,3.921
4,22/02/2013,44.68,3.921
4,1/03/2013,42.56,3.921
4,8/03/2013,53.21,3.921
4,15/03/2013,53.39,3.921
4,22/03/2013,58.55,3.921
4,29/03/2013,50.36,3.921
4,5/04/2013,57.7,3.896
4,12/04/2013,60.06,3.896
4,19/04/2013,63.28,3.896
4,26/04/2013,58.15,3.896
4,3/05/2013,64.18,NA
4,10/05/2013,64.01,NA
4,17/05/2013,70.5,NA
4,24/05/2013,76.73,NA
4,31/05/2013,79.17,NA
4,7/06/2013,78.11,NA
4,14/06/2013,79.24,NA
4,21/06/2013,79.1,NA
4,28/06/2013,86.29,NA
4,5/07/2013,76.96,NA
4,12/07/2013,82.3,NA
4,19/07/2013,73.29,NA
4,26/07/2013,78.96,NA
5,5/02/2010,39.7,6.566
5,12/02/2010,39.81,6.566
5,19/02/2010,41.14,6.566
5,26/02/2010,46.7,6.566
5,5/03/2010,48.89,6.566
5,12/03/2010,58.5,6.566
5,19/03/2010,55.46,6.566
5,26/03/2010,52.47,6.566
5,2/04/2010,63.18,6.465
5,9/04/2010,65.19,6.465
5,16/04/2010,65.3,6.465
5,23/04/2010,65.13,6.465
5,30/04/2010,67.53,6.465
5,7/05/2010,71.53,6.465
5,14/05/2010,74.79,6.465
5,21/05/2010,75.2,6.465
5,28/05/2010,79.81,6.465
5,4/06/2010,79.54,6.465
5,11/06/2010,80.7,6.465
5,18/06/2010,83.91,6.465
5,25/06/2010,83.72,6.465
5,2/07/2010,81.25,6.496
5,9/07/2010,81.14,6.496
5,16/07/2010,83.98,6.496
5,23/07/2010,83.66,6.496
5,30/07/2010,82.46,6.496
5,6/08/2010,86.1,6.496
5,13/08/2010,87.41,6.496
5,20/08/2010,87.71,6.496
5,27/08/2010,87.05,6.496
5,3/09/2010,84.06,6.496
5,10/09/2010,79.86,6.496
5,17/09/2010,82.28,6.496
5,24/09/2010,78.53,6.496
5,1/10/2010,71.1,6.768
5,8/10/2010,64.99,6.768
5,15/10/2010,68.11,6.768
5,22/10/2010,70.96,6.768
5,29/10/2010,70.58,6.768
5,5/11/2010,58.88,6.768
5,12/11/2010,62.37,6.768
5,19/11/2010,52.52,6.768
5,26/11/2010,66.15,6.768
5,3/12/2010,51.31,6.768
5,10/12/2010,48.27,6.768
5,17/12/2010,51.61,6.768
5,24/12/2010,55.01,6.768
5,31/12/2010,49.79,6.768
5,7/01/2011,48.3,6.634
5,14/01/2011,37.74,6.634
5,21/01/2011,45.41,6.634
5,28/01/2011,44.5,6.634
5,4/02/2011,41.67,6.634
5,11/02/2011,38.25,6.634
5,18/02/2011,58.83,6.634
5,25/02/2011,63.35,6.634
5,4/03/2011,60.35,6.634
5,11/03/2011,55.74,6.634
5,18/03/2011,64.31,6.634
5,25/03/2011,70.71,6.634
5,1/04/2011,61.5,6.489
5,8/04/2011,69.64,6.489
5,15/04/2011,72.02,6.489
5,22/04/2011,74.34,6.489
5,29/04/2011,74.75,6.489
5,6/05/2011,66.27,6.489
5,13/05/2011,77.38,6.489
5,20/05/2011,71.37,6.489
5,27/05/2011,80.14,6.489
5,3/06/2011,83.81,6.489
5,10/06/2011,83.61,6.489
5,17/06/2011,86.84,6.489
5,24/06/2011,84.76,6.489
5,1/07/2011,85.81,6.529
5,8/07/2011,86.64,6.529
5,15/07/2011,88.64,6.529
5,22/07/2011,86.97,6.529
5,29/07/2011,89.42,6.529
5,5/08/2011,91.07,6.529
5,12/08/2011,90.16,6.529
5,19/08/2011,89.35,6.529
5,26/08/2011,89.18,6.529
5,2/09/2011,90.38,6.529
5,9/09/2011,79.04,6.529
5,16/09/2011,83.55,6.529
5,23/09/2011,78.01,6.529
5,30/09/2011,81.16,6.529
5,7/10/2011,71.64,6.3
5,14/10/2011,72.36,6.3
5,21/10/2011,66.9,6.3
5,28/10/2011,69.27,6.3
5,4/11/2011,56.71,6.3
5,11/11/2011,60.71,6.3
5,18/11/2011,64.33,6.3
5,25/11/2011,61.93,6.3
5,2/12/2011,51.14,6.3
5,9/12/2011,44.12,6.3
